iter	RMSE
146	0.2289861346
147	0.2287374059
148	0.2283496625
149	0.228122222
150	0.2277763219
151	0.2274689544
152	0.227138067
153	0.2267177341
154	0.2264279029
155	0.22618563
156	0.2259850328
157	0.2255783883
158	0.2252109197
159	0.2249030732
160	0.2246908086
161	0.2243458439
162	0.2240021488
163	0.2236755305
164	0.2233584525
165	0.2229602956
166	0.2227337183
167	0.2225143827
168	0.2223174936
169	0.221865038
170	0.221725742
171	0.2214147016
172	0.2211082114
173	0.2207069981
174	0.2205279286
175	0.2202063908
176	0.2199435735
177	0.2196870019
178	0.2194433776
179	0.2191814297
180	0.2187195159
181	0.2184210248
182	0.2181624467
183	0.21792756
184	0.217657309
185	0.2173967989
186	0.2171641583
187	0.2169594139
188	0.2167252094
189	0.2163686897
190	0.2160096029
191	0.2157982835
192	0.2155059568
193	0.2153275061
194	0.2151100247
195	0.2149154712
196	0.2147409972
197	0.2144558583
198	0.2139412653
199	0.2136692484
200	0.2134758412
201	0.2132612878
202	0.2128638419
203	0.2125832918
204	0.2122659187
205	0.211950138
206	0.2115996583
207	0.2113796733
208	0.2110515908
209	0.2108044233
210	0.2104201923
211	0.2100767886
212	0.2098220175
213	0.2096303004
214	0.2093282138
215	0.2089869887
216	0.2087478309
217	0.2085252831
218	0.2080971364
219	0.207939535
220	0.2077587562
221	0.2075551469
222	0.2074510971
223	0.2071590202
224	0.2069003043
225	0.2066691866
226	0.2064728095
227	0.2061717577
228	0.2058193032
229	0.2054860941
230	0.2050804454
231	0.204792634
232	0.2045000055
233	0.2042622802
234	0.2040734675
235	0.2038404724
236	0.2034971974
237	0.203333123
238	0.2029820049
239	0.2026805329
240	0.202405138
241	0.2021698364
242	0.2019877437
243	0.2016691174
244	0.2013300915
245	0.201016352
246	0.2006720119
247	0.2004345153
248	0.2000756411
249	0.1997406669
250	0.1994034557
251	0.1989555496
252	0.1985714541
253	0.1983831778
254	0.1981849375
255	0.1979103738
256	0.1976481888
257	0.197341396
258	0.1970396962
259	0.1968053197
260	0.1963920587
261	0.1959889066
262	0.1956834095
263	0.1954633711
264	0.195251021
265	0.1949372918
266	0.1945624764
267	0.1943962604
268	0.1941786231
269	0.1939700839
270	0.1936892222
271	0.1934109314
272	0.1931699737
273	0.1928230691
274	0.1925818334
275	0.1922436663
276	0.1917867173
277	0.1915556048
278	0.1913565704
279	0.1912030408
280	0.1909243299
281	0.1905976223
282	0.1904188559
283	0.1901545271
284	0.1897806403
285	0.1895916679
286	0.1892974787
287	0.1890737373
288	0.1888171847
289	0.1885000728
290	0.188150905
291	0.1879319655
292	0.1877802761
293	0.1875303429
294	0.1873381956
295	0.1871072824
296	0.1868745425
297	0.1866987709
298	0.1864756061
299	0.1862707097
300	0.1859919233
301	0.185550634
302	0.1852853167
303	0.1850064291
304	0.1848530296
305	0.1846200026
306	0.184375231
307	0.1841569377
308	0.1839278955
309	0.1835737695
310	0.183398054
311	0.1831549463
312	0.1829448381
313	0.182643984
314	0.1824887111
315	0.182293205
316	0.1819934517
317	0.1817170557
318	0.1813922025
319	0.1812165837
320	0.1809221831
321	0.1807293946
322	0.1805016661
323	0.1803069607
324	0.1801820513
325	0.1799536963
326	0.1797098105
327	0.179432593
328	0.1791530212
329	0.1788835422
330	0.1787716813
331	0.1786043096
332	0.1785366007
333	0.1783514255
334	0.1780901592
335	0.1779637463
336	0.177824758
337	0.1776838543
338	0.1773190218
339	0.1770771702
340	0.1769002113
341	0.1766712072
342	0.1764561851
343	0.1762877401
344	0.1760888181
345	0.1758842826
346	0.1756557763
347	0.1753638157
348	0.1751366272
349	0.1750146428
350	0.17483362
351	0.1745970718
352	0.1744534416
353	0.1742675171
354	0.1741084068
355	0.1740086134
356	0.1736973829
357	0.1734497338
358	0.1732755471
359	0.1729909852
360	0.1727798812
361	0.1725279462
362	0.1722219446
363	0.1719664242
364	0.171660038
365	0.1715010351
366	0.1712781849
367	0.1711591274
368	0.1709226925
369	0.1707519374
370	0.1706049725
371	0.1704556468
372	0.1702257816
373	0.1700615723
374	0.1698162528
375	0.1697264612
376	0.1695187896
377	0.1691409751
378	0.1689724396
379	0.1688609956
380	0.1687186811
381	0.1685844899
382	0.1683647098
383	0.1680616046
384	0.1677678233
385	0.1674875839
386	0.1673077055
387	0.1670798877
388	0.1669223852
389	0.1666704591
390	0.1663591997
391	0.1661555265
392	0.1658893449
393	0.1656957339
394	0.1655039669
395	0.1653537046
396	0.1651193468
397	0.1648710602
398	0.1647107168
399	0.1645329639
400	0.1643916195
401	0.1642495127
402	0.1640365157
403	0.1638254193
404	0.1635854116
405	0.1633902576
406	0.1632495225
407	0.1629479913
408	0.1627174316
409	0.1624979127
410	0.1622818767
411	0.16200521
412	0.161772641
413	0.1615972818
414	0.1614506503
415	0.1613094365
416	0.1611612843
417	0.1610064123
418	0.1608327886
419	0.1605501928
420	0.1603405039
421	0.1600075202
422	0.1596947476
423	0.1595064399
424	0.1591991655
425	0.1589203484
426	0.158747669
427	0.1586467741
428	0.1583853525
429	0.1581861529
430	0.1579001954
431	0.1577393401
432	0.1575609696
433	0.157454624
434	0.1571148767
435	0.1569314343
436	0.1567776332
437	0.1564783031
438	0.1562537544
439	0.1560951327
440	0.1559283722
441	0.1557070172
442	0.1554984319
443	0.155360979
444	0.1551803111
445	0.1549204784
446	0.1547460612
447	0.1545728388
448	0.1544872727
449	0.1542398539
450	0.1541391639
451	0.1539776472
452	0.1538484121
453	0.1537128231
454	0.1535953312
455	0.1534063719
456	0.1532520497
457	0.1530402912
458	0.1528806935
459	0.1526262086
460	0.1525013926
461	0.1523027901
462	0.1520916928
463	0.1518534248
464	0.1516257871
465	0.1514483019
466	0.1513126061
467	0.1511632307
468	0.1510721082
469	0.1508416908
470	0.1506748402
471	0.1504660226
472	0.1502902295
473	0.150104002
474	0.1499049969
475	0.1496999608
476	0.1495693636
477	0.1493730295
478	0.1492052858
479	0.1490210527
480	0.1487496874
481	0.1485766107
482	0.1483422072
483	0.1482478079
484	0.1479991223
485	0.1478262498
486	0.147648763
487	0.1474900057
488	0.1473412133
489	0.1471654506
490	0.1470323856
491	0.146956623
492	0.1467242531
493	0.1465519316
494	0.1464357794
495	0.1462784703
496	0.1460918856
497	0.1458963648
498	0.1456880887
499	0.1456044989
500	0.1454407037
501	0.1452988639
502	0.1451732073
503	0.1448346796
504	0.1446641813
505	0.1445479692
506	0.14429143
507	0.1441117936
508	0.1439342255
509	0.1438483565
510	0.1436312154
511	0.143347768
512	0.1432545751
513	0.1430142796
514	0.1428952032
515	0.1426717572
516	0.1424675701
517	0.1422273046
518	0.1419326962
519	0.1418422426
520	0.1416077912
521	0.1414345487
522	0.1413059614
523	0.1411447528
524	0.140957154
525	0.1407894033
526	0.1405572477
527	0.1403707129
528	0.1402203459
529	0.1400755263
530	0.1398838884
531	0.1397742583
532	0.1396971139
533	0.1395224073
534	0.1394373512
535	0.1392846101
536	0.1391155699
537	0.1389662578
538	0.1388226122
539	0.1386580967
540	0.1385132446
541	0.1383556812
542	0.1381629
543	0.137978928
544	0.1378130535
545	0.1376877521
546	0.1375322933
547	0.1373322254
548	0.1370804153
549	0.1369197561
550	0.1367455966
551	0.1366422033
552	0.1364952736
553	0.1362500076
554	0.1360900104
555	0.1358300908
556	0.1357063967
557	0.1355307369
558	0.135410669
559	0.1352046509
560	0.1350259062
561	0.1348662936
562	0.1347247015
563	0.1346006687
564	0.1343990417
565	0.1342670675
566	0.134107055
567	0.1339595399
568	0.1338165752
569	0.1336507024
570	0.1335053259
571	0.1333869128
572	0.1332698188
573	0.1330377095
574	0.1329232379
575	0.1327409129
576	0.1326090945
577	0.1324129665
578	0.1322909525
579	0.1322006381
580	0.1320629128
581	0.1318694898
582	0.1317381612
583	0.1316148539
584	0.1314035635
585	0.1312121131
586	0.1310451079
587	0.1308495447
588	0.1306839604
589	0.1304111638
590	0.1302852481
591	0.130160763
592	0.1301000036
593	0.1300030509
594	0.1299356437
595	0.129787618
596	0.1295929161
597	0.1294689444
598	0.1293713846
599	0.129216159
600	0.1290955329
601	0.1289425348
602	0.1288317192
603	0.1287213603
604	0.128584117
605	0.1284801531
606	0.1283977254
607	0.1282084765
608	0.1281393505
609	0.1280250892
610	0.1278479913
611	0.1276512195
612	0.1275143148
613	0.1273938369
614	0.1272232616
615	0.127084331
616	0.1268634997
617	0.126752835
618	0.126663327
619	0.1264538072
620	0.1263359725
621	0.1261840889
622	0.1260506809
623	0.1258713008
624	0.1257704073
625	0.1256015247
626	0.1254128839
627	0.1252140756
628	0.1249775251
629	0.1248110335
630	0.1246062982
631	0.1244971053
632	0.1242642827
633	0.124127078
634	0.123945565
635	0.123818853
636	0.1236841007
637	0.1234849901
638	0.1232853147
639	0.1231981943
640	0.1230498453
641	0.1228412478
642	0.1226998439
643	0.1225816466
644	0.1225271242
645	0.1223720574
646	0.122179177
647	0.1221324789
648	0.1219594212
649	0.1218439142
650	0.1217228226
651	0.1216012932
652	0.1215202251
653	0.1213309665
654	0.121278975
655	0.1211122265
656	0.1209900606
657	0.120907946
658	0.1207383723
659	0.1206140594
660	0.12046226
661	0.1202727904
662	0.1201715302
663	0.1200057368
664	0.1198608408
665	0.1197145737
666	0.1196410696
667	0.1195275575
668	0.1194885853
669	0.119367631
670	0.1192283502
671	0.1191506867
672	0.1190073833
673	0.1188991685
674	0.1186972171
675	0.1185229339
676	0.118407313
677	0.1183059401
678	0.1181765329
679	0.1180888141
680	0.1179870932
681	0.1178733838
682	0.1177154361
683	0.1176438933
684	0.1174907091
685	0.1173861749
686	0.1172430765
687	0.1171375107
688	0.1170252268
689	0.1168761766
690	0.1167266821
691	0.116530348
692	0.1163709672
693	0.1162800754
694	0.1161601534
695	0.1160124317
696	0.1158724275
697	0.1157581101
698	0.1156219123
699	0.1154911646
700	0.1153469867
701	0.1151292414
702	0.1149614641
703	0.1148006258
704	0.1147115502
705	0.1145524757
706	0.1143788473
707	0.1143033844
708	0.1141443122
709	0.1139682538
710	0.1138425163
711	0.1136636717
712	0.1135625402
713	0.1134988637
714	0.1133989926
715	0.1132574037
716	0.1131170057
717	0.113019294
718	0.1128850433
719	0.1128346881
720	0.1127576522
721	0.1126327887
722	0.1125050088
723	0.1124012251
724	0.1122666314
725	0.1121886043
726	0.1120153007
727	0.1118702451
728	0.1116816009
729	0.1116040392
730	0.1113911451
731	0.1111842405
732	0.1110499285
733	0.1110068012
734	0.1108944134
735	0.1107851943
736	0.1106798491
737	0.110492154
738	0.1103556364
739	0.1102758068
740	0.1100761863
741	0.1099453649
742	0.1098609604
743	0.1097786776
744	0.1096303381
745	0.1095159567
746	0.1094217893
747	0.1092760335
748	0.1091116679
749	0.1089621867
750	0.1088502093
751	0.108661214
752	0.1084861236
753	0.1083614838
754	0.1082588501
755	0.1081319181
756	0.1080471253
757	0.1079820084
758	0.1078422861
759	0.1076582525
760	0.1075502015
761	0.1074054673
762	0.1073104251
763	0.1072293865
764	0.1071301716
765	0.1069961725
766	0.1069084721
767	0.1067945485
768	0.1067362804
769	0.1065776333
770	0.1065103253
771	0.1063024194
772	0.1061787708
773	0.1061072555
774	0.1060077512
775	0.1059067099
776	0.1057368287
777	0.1056455912
778	0.1055389671
779	0.105425351
780	0.1052413998
781	0.1051380099
782	0.1049954228
783	0.1048372203
784	0.1046572546
785	0.1045232547
786	0.1044342641
787	0.1043345858
788	0.1042381366
789	0.1041642374
790	0.1040879921
791	0.1040280755
792	0.1039122635
793	0.1037654809
794	0.1036682238
795	0.1035661174
796	0.1034514558
797	0.1032928534
798	0.1031601289
799	0.1030031146
800	0.102871077
801	0.102773409
802	0.1026663957
803	0.1025752048
804	0.1025025395
805	0.1024116396
806	0.1022678374
807	0.1020850652
808	0.1020385437
809	0.101869677
810	0.1017101059
811	0.1016242382
812	0.1015074782
813	0.1013983402
814	0.1012481705
815	0.1011367039
816	0.1010548909
817	0.100959234
818	0.1009001079
819	0.1007512022
820	0.1006346428
821	0.1005114066
822	0.1004470698
823	0.1003187851
824	0.1001756227
825	0.1001057181
826	0.100006807
827	0.09993287811
828	0.09984032124
829	0.09973588179
830	0.09958536263
831	0.09945434402
832	0.09932301826
833	0.09921303682
834	0.09911967884
835	0.09903231783
836	0.09890984647
837	0.09875088258
838	0.09863486502
839	0.09855562072
840	0.09841785926
841	0.09832926126
842	0.09827124332
843	0.09816058496
844	0.09808231813
845	0.09796870727
846	0.09783188252
847	0.09775582672
848	0.09767696795
849	0.09763716138
850	0.0974777989
851	0.09734237057
852	0.09728426549
853	0.0972115481
854	0.09711276862
855	0.0970201101
856	0.0968580784
857	0.09673457876
858	0.09665393614
859	0.09657485009
860	0.09648810443
861	0.09641505816
862	0.09632686032
863	0.09617544622
864	0.09602833093
865	0.09593451676
866	0.09581068895
867	0.09567314247
868	0.09553490954
869	0.09540190238
870	0.09530535333
871	0.09526635452
872	0.09519150511
873	0.09508878083
874	0.09494252973
875	0.09484313249
876	0.09473729384
877	0.09467755546
878	0.09455830741
879	0.09445809892
880	0.09436984681
881	0.09429593239
882	0.09420351103
883	0.09409965732
884	0.09396004091
885	0.09388263068
886	0.09374247278
887	0.09358763314
888	0.09351712522
889	0.09345723461
890	0.09333508822
891	0.09322144487
892	0.09313262389
893	0.09297213204
894	0.09287534558
895	0.09274691754
896	0.09262833405
897	0.09249759089
898	0.09237768876
899	0.09229674475
900	0.09223664609
901	0.09216618698
902	0.09209831052
903	0.09203034318
904	0.0919075112
905	0.09180696161
906	0.09167590583
907	0.09154335176
908	0.09141253012
909	0.09128271608
910	0.09122692036
911	0.09111062195
912	0.09102705796
913	0.09085628852
914	0.09075207456
915	0.09072244645
916	0.09065721645
917	0.09060909083
918	0.09046738233
919	0.09035729934
920	0.09028538922
921	0.09017303464
922	0.09003095406
923	0.08994316737
924	0.08988078676
925	0.08977894013
926	0.08970642461
927	0.08959181355
928	0.08947735913
929	0.08934144636
930	0.08926664574
931	0.0891512835
932	0.08906258759
933	0.08897047941
934	0.08888673344
935	0.08877585655
936	0.08866356695
937	0.08862354268
938	0.08851448116
939	0.08842171144
940	0.08834003815
941	0.08826355258
942	0.08818643052
943	0.08813429088
944	0.08803281318
945	0.08793624152
946	0.08785266498
947	0.08772511031
948	0.08764007122
949	0.08750075266
950	0.08741402158
951	0.08733754843
952	0.08723009884
953	0.0871703977
954	0.08709229631
955	0.08697536599
956	0.08688455543
957	0.08674017984
958	0.08670248672
959	0.08662198078
960	0.08654379354
961	0.08647294629
962	0.08641638398
963	0.08626281839
964	0.08617040933
965	0.08606320528
966	0.08599989208
967	0.08589653957
968	0.08583176187
969	0.08575952191
970	0.08567874132
971	0.08560667944
972	0.08549175004
973	0.08540763611
974	0.08533972199
975	0.08523166418
976	0.08517174095
977	0.0850562228
978	0.08492849905
979	0.08479296904
980	0.08470398881
981	0.08462321072
982	0.08453424986
983	0.08448522378
984	0.08436460264
985	0.08430132022
986	0.08425676546
987	0.08412909696
988	0.08404472473
989	0.08393539754
990	0.08387733612
991	0.08375407056
992	0.08369132415
993	0.08360899526
994	0.0835309202
995	0.08342499584
996	0.08335448808
997	0.08327005288
998	0.08318897049
999	0.08314446609
